s,k,res,s2,acc
128,5,1.2,24,0.703331
128,5,1.2,32,0.706107
128,5,1.2,48,0.626995
128,5,1.2,64,0.728661
128,5,1.2,96,0.660999
128,5,1.2,128,0.575295
128,5,1.2,192,0.581888
128,5,1.2,256,0.624566
128,5,1.3,3,0.700902
128,5,1.3,5,0.684941
128,5,1.3,8,0.701249
128,5,1.3,16,0.713046
128,5,1.3,24,0.703331
128,5,1.3,32,0.706107
128,5,1.3,48,0.626995
128,5,1.3,64,0.728661
128,5,1.3,96,0.660999
128,5,1.3,128,0.575295
128,5,1.3,192,0.581888
128,5,1.3,256,0.624566
128,5,1.4,3,0.700902
128,5,1.4,5,0.684941
128,5,1.4,8,0.701249
128,5,1.4,16,0.713046
128,5,1.4,24,0.703331
128,5,1.4,32,0.706107
128,5,1.4,48,0.626995
128,5,1.4,64,0.728661
128,5,1.4,96,0.660999
128,5,1.4,128,0.575295
128,5,1.4,192,0.581888
128,5,1.4,256,0.624566
128,5,1.5,3,0.700902
128,5,1.5,5,0.684941
128,5,1.5,8,0.701249
128,5,1.5,16,0.713046
128,5,1.5,24,0.703331
128,5,1.5,32,0.706107
128,5,1.5,48,0.626995
128,5,1.5,64,0.728661
128,5,1.5,96,0.660999
128,5,1.5,128,0.575295
128,5,1.5,192,0.581888
128,5,1.5,256,0.624566
128,10,0.6,3,0.305344
128,10,0.6,5,0.305344
128,10,0.6,8,0.305344
128,10,0.6,16,0.305344
128,10,0.6,24,0.305344
128,10,0.6,32,0.305344
128,10,0.6,48,0.305344
128,10,0.6,64,0.305344
128,10,0.6,96,0.305344
128,10,0.6,128,0.305344
128,10,0.6,192,0.305344
128,10,0.6,256,0.305344
128,10,0.7,3,0.305344
128,10,0.7,5,0.305344
128,10,0.7,8,0.305344
128,10,0.7,16,0.305344
128,10,0.7,24,0.305344
128,10,0.7,32,0.305344
128,10,0.7,48,0.305344
128,10,0.7,64,0.305344
128,10,0.7,96,0.305344
128,10,0.7,128,0.305344
128,10,0.7,192,0.305344
128,10,0.7,256,0.305344
128,10,0.8,3,0.305344
128,10,0.8,5,0.305344
128,10,0.8,8,0.305344
