s,k,res,acc_mean,acc_std,n_runs
256,15,1.4,0.689452,0.0,3
256,15,1.5,0.689452,0.0,3
256,20,0.6,0.305344,0.0,3
256,20,0.7,0.305344,0.0,3
256,20,0.8,0.305344,0.0,3
256,20,0.9,0.305344,0.0,3
256,20,1.0,0.680777,0.0,3
256,20,1.1,0.680777,0.0,3
256,20,1.2,0.680777,0.0,3
256,20,1.3,0.680777,0.0,3
256,20,1.4,0.680777,0.0,3
256,20,1.5,0.680777,0.0,3
256,30,0.6,0.305344,0.0,3
256,30,0.7,0.305344,0.0,3
256,30,0.8,0.305344,0.0,3
256,30,0.9,0.305344,0.0,3
256,30,1.0,0.718251,0.0,3
256,30,1.1,0.718251,0.0,3
256,30,1.2,0.718251,0.0,3
256,30,1.3,0.718251,0.0,3
256,30,1.4,0.718251,0.0,3
256,30,1.5,0.718251,0.0,3
512,5,0.6,0.305344,0.0,3
512,5,0.7,0.305344,0.0,3
512,5,0.8,0.305344,0.0,3
512,5,0.9,0.305344,0.0,3
512,5,1.0,0.779667,0.0,3
512,5,1.1,0.779667,0.0,3
512,5,1.2,0.779667,0.0,3
512,5,1.3,0.779667,0.0,3
512,5,1.4,0.779667,0.0,3
512,5,1.5,0.779667,0.0,3
512,10,0.6,0.305344,0.0,3
512,10,0.7,0.305344,0.0,3
512,10,0.8,0.305344,0.0,3
512,10,0.9,0.305344,0.0,3
512,10,1.0,0.77932,0.0,3
512,10,1.1,0.77932,0.0,3
512,10,1.2,0.77932,0.0,3
512,10,1.3,0.77932,0.0,3
512,10,1.4,0.77932,0.0,3
512,10,1.5,0.77932,0.0,3
512,15,0.6,0.305344,0.0,3
512,15,0.7,0.305344,0.0,3
512,15,0.8,0.305344,0.0,3
512,15,0.9,0.305344,0.0,3
512,15,1.0,0.77238,0.0,3
512,15,1.1,0.77238,0.0,3
512,15,1.2,0.77238,0.0,3
512,15,1.3,0.77238,0.0,3
512,15,1.4,0.77238,0.0,3
512,15,1.5,0.77238,0.0,3
512,20,0.6,0.305344,0.0,3
512,20,0.7,0.305344,0.0,3
512,20,0.8,0.305344,0.0,3
512,20,0.9,0.305344,0.0,3
512,20,1.0,0.698126,0.0,3
512,20,1.1,0.698126,0.0,3
512,20,1.2,0.698126,0.0,3
512,20,1.3,0.698126,0.0,3
512,20,1.4,0.698126,0.0,3
512,20,1.5,0.698126,0.0,3
512,30,0.6,0.305344,0.0,3
512,30,0.7,0.305344,0.0,3
512,30,0.8,0.305344,0.0,3
512,30,0.9,0.305344,0.0,3
512,30,1.0,0.696738,0.0,3
512,30,1.1,0.696738,0.0,3
512,30,1.2,0.696738,0.0,3
512,30,1.3,0.696738,0.0,3
512,30,1.4,0.696738,0.0,3
512,30,1.5,0.696738,0.0,3
1024,5,0.6,0.343164,0.0,3
1024,5,0.7,0.343164,0.0,3
1024,5,0.8,0.343164,0.0,3
1024,5,0.9,0.343164,0.0,3
1024,5,1.0,0.636364,0.0,3
1024,5,1.1,0.636364,0.0,3
1024,5,1.2,0.636364,0.0,3
1024,5,1.3,0.636364,0.0,3
1024,5,1.4,0.636364,0.0,3
1024,5,1.5,0.636364,0.0,3
1024,10,0.6,0.305344,0.0,3
1024,10,0.7,0.305344,0.0,3
1024,10,0.8,0.305344,0.0,3
1024,10,0.9,0.305344,0.0,3
1024,10,1.0,0.774809,0.0,3
1024,10,1.1,0.774809,0.0,3
1024,10,1.2,0.774809,0.0,3
1024,10,1.3,0.774809,0.0,3
1024,10,1.4,0.774809,0.0,3
1024,10,1.5,0.774809,0.0,3
1024,15,0.6,0.305344,0.0,3
1024,15,0.7,0.305344,0.0,3
1024,15,0.8,0.305344,0.0,3
1024,15,0.9,0.305344,0.0,3
1024,15,1.0,0.780361,0.0,3
1024,15,1.1,0.780361,0.0,3
1024,15,1.2,0.780361,0.0,3
1024,15,1.3,0.780361,0.0,3
1024,15,1.4,0.780361,0.0,3
1024,15,1.5,0.780361,0.0,3
1024,20,0.6,0.305344,0.0,3
1024,20,0.7,0.305344,0.0,3
1024,20,0.8,0.305344,0.0,3
1024,20,0.9,0.305344,0.0,3
1024,20,1.0,0.77585,0.0,3
1024,20,1.1,0.77585,0.0,3
1024,20,1.2,0.77585,0.0,3
1024,20,1.3,0.77585,0.0,3
1024,20,1.4,0.77585,0.0,3
1024,20,1.5,0.77585,0.0,3
1024,30,0.6,0.305344,0.0,3
1024,30,0.7,0.305344,0.0,3
1024,30,0.8,0.305344,0.0,3
1024,30,0.9,0.305344,0.0,3
1024,30,1.0,0.707495,0.0,3
1024,30,1.1,0.707495,0.0,3
1024,30,1.2,0.707495,0.0,3
1024,30,1.3,0.707495,0.0,3
1024,30,1.4,0.707495,0.0,3
1024,30,1.5,0.707495,0.0,3
